supplier_id,company_name,contact_person,email,phone,country,city,rating,contract_start,payment_terms
SUP001,Supplier Company 1,Pedro Fernández,contact1@supplier1.com,+51-932-890401,Brazil,Juliaca,3.0,2024-04-19,PREPAID
SUP002,Supplier Company 2,María Gutiérrez,contact2@supplier2.com,+51-991-727529,USA,Trujillo,4.6,2022-10-19,PREPAID
SUP003,Supplier Company 3,Carlos López,contact3@supplier3.com,+51-965-147593,Germany,Trujillo,3.9,2025-03-31,NET_60
SUP004,Supplier Company 4,Gabriela Castillo,contact4@supplier4.com,+51-917-875926,Peru,Sullana,4.0,2025-01-15,NET_60
SUP005,Supplier Company 5,María Vásquez,contact5@supplier5.com,+51-956-975717,Germany,Ica,3.9,2023-03-27,NET_30
SUP006,Supplier Company 6,Juan Ramírez,contact6@supplier6.com,+51-959-780709,Peru,Pucallpa,4.5,2023-10-23,NET_60
SUP007,Supplier Company 7,Laura Sánchez,contact7@supplier7.com,+51-952-397241,Peru,Huancayo,4.3,2025-05-10,COD
SUP008,Supplier Company 8,Antonio Gutiérrez,contact8@supplier8.com,+51-940-595306,China,Ica,3.8,2023-01-04,PREPAID
SUP009,Supplier Company 9,Patricia García,contact9@supplier9.com,+51-941-345936,China,Sullana,4.4,2022-09-10,NET_60
SUP010,Supplier Company 10,Victoria Rodriguez,contact10@supplier10.com,+51-978-203124,Brazil,Chiclayo,4.0,2023-07-13,NET_30
